Inhibitor;Target;Pathway
Ponatinib;BCR-ABL (incl. T315I);BCR-ABL signaling (RTK pathway)
Asciminib;BCR-ABL;BCR-ABL signaling (RTK pathway)
Nilotinib;BCR-ABL;BCR-ABL signaling (RTK pathway)
Crizotinib;ALK, MET, ROS1;ALK/ROS1/MET signaling
Lorlatinib;ALK, ROS1;ALK/ROS1 signaling (RTK pathway)
Brigatinib;ALK, EGFR;ALK/EGFR signaling (RTK pathway)
Crizotinib;ALK, c-MET;Cell proliferation, survival
Alectinib;ALK;ALK signaling (RTK pathway)
Ceritinib;ALK;ALK signaling (RTK pathway)
Capivasertib (AZD5363);AKT;PI3K/AKT/mTOR pathway
Ipatasertib;AKT;PI3K/AKT/mTOR pathway
MK-2206;AKT;PI3K/AKT/mTOR pathway
Abemaciclib;CDK4/6;
Acalabrutinib;BTK;
Afatinib;ErbB1/2/4;
Alectinib;ALK, RET;
Alpelisib;PI3K;
Avapritinib;PDGFRα;
Zanubrutinib;BTK;
Vemurafenib;BRAF;
Vandetanib;VEGFR;
Upadacitinib;JAK1/2;
Umbralisib;PI3K;
Tucatinib;ErbB1/2/4, HER2;
Trilaciclib;CDK4/6;
Trametinib;MEK1/2;
Tofacitinib;JAK1/3;
Tivozanib;VEGFR;
Tepotinib;MET;
Temsirolimus;mTOR (via FKBP12);
Sunitinib;VEGFR;
Sorafenib;VEGFR;
Sirolimus;mTOR (via FKBP12);
Selumetinib;MEK1/2;
Selpercatinib;RET;
Ruxolitinib;JAK1/3, TYK;
Ripretinib;KIT, PDGFRα;
Ribociclib;CDK4/6;
Regorafenib;VEGFR;
Pralsetinib;RET;
Ponatinib;BCR-ABL;
Pexidartinib;CSF1R;
Pemigatinib;FGFR;
Pazopanib;VEGFR;
Palbociclib;CDK4/6;
Osimertinib;EGFR;
Olmutinib;EGFR;
Nintedanib;FGFR;
Nilotinib;BCR-ABL;
Netarsudil;ROCK1/2;
Neratinib;ErbB1/2/4, HER2;
Midostaurin;FLT3;
Lorlatinib;ALK;
Lenvatinib;RET, VEGFR;
Larotrectinib;TRK (NTRK);
Lapatinib;EGFR;
Infigratinib;FGFR;
Imatinib;BCR-ABL;
Idelalisib;PI3K;
Ibrutinib;BTK;
Gilteritinib;FLT3;
Gefitinib;EGFR;
Fostamatinib;Syk;
Fedratinib;JAK1/2;
Fasudil;ROCK1/2;
Everolimus;mTOR (via FKBP12);
Erlotinib;EGFR;
Erdafitinib;FGFR;
Entrectinib;ROS1;
Encorafenib;BRAF;
Duvelisib;PI3K;
Dasatinib;BCR-ABL;
Dacomitinib;EGFR;
Dabrafenib;BRAF;
Crizotinib;ALK, ROS1;
Copanlisib;PI3K;
Cobimetinib;MEK1/2;
Ceritinib;ALK;
Capmatinib;c-MET;
Cabozantinib;RET;
Brigatinib;ALK;
Bosutinib;BCR-ABL;
Binimetinib;MEK1/2;
Baricitinib;JAK1/2;
Axitinib;VEGFR;
Afuresertib;AKT;
HSND80;MNK/p70S6K;
