name,SimplifiedDisease,Disease,TissueOfOrigin,url,catalogueNumber,Collection,Species
RAMOS,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ramos,85030802,General Cell,Human
TR33B,Other,Oligodendroglioma,Brain,https://www.culturecollections.org.uk/nop/product/tr33b,85040102,General Cell,Rat
HeLa B,Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-b,85060701,General Cell,Human
TA3 Hauschka,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/ta3-hauschka,85061102,General Cell,Mouse
T24/83,Carcinoma,Carcinoma,Bladder,https://www.culturecollections.org.uk/nop/product/t2483,85061107,General Cell,Human
RAMOS-AW,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ramos-aw,85062003,General Cell,Human
Y1,Carcinoma,Carcinoma,Adrenal gland,https://www.culturecollections.org.uk/nop/product/y1,85062807,General Cell,Mouse
WiDr,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/widr,85111501,General Cell,Human
CCRF-HSB-2,Leukaemia,Lymphoblastic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/ccrf-hsb-2,85112801,General Cell,Human
YAC-1,Lymphoma,Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/yac-1,86022801,General Cell,Mouse
HEp-2 (HeLa derivative),Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hep-2-hela-derivative,86030501,General Cell,Human
HRT-18,Carcinoma,Adenocarcinoma,Rectum,https://www.culturecollections.org.uk/nop/product/hrt-18,86040306,General Cell,Human
IMR 32,Blastoma,Neuroblastoma,Other,https://www.culturecollections.org.uk/nop/product/imr-32,86041809,General Cell,Human
WR19L,Lymphoma,Lymphoma,Other,https://www.culturecollections.org.uk/nop/product/wr19l,95050414,General Cell,Mouse
N115-BU-7,Carcinoma,Carcinoma,Nerve,https://www.culturecollections.org.uk/nop/product/n115-bu-7,08062554,General Cell,Mouse
108CC5-TG-1,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5-tg-1,08062543,General Cell,Hybrid
108CC5-TG-3,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5-tg-3,08062545,General Cell,Hybrid
54SCC3,Blastoma,Neuroblastoma/Glioma Hybrid,Other,https://www.culturecollections.org.uk/nop/product/54scc3,08062561,General Cell,Hybrid
328/9,Other,Glioma,Nerve,https://www.culturecollections.org.uk/nop/product/3289,08062533,General Cell,Mouse
328/12,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/32812,08062540,General Cell,Mouse
NS20Y-BU-5,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/ns20y-bu-5,08062504,General Cell,Mouse
MT-2,Blastoma,Neuroblastoma,Not Specified,https://www.culturecollections.org.uk/nop/product/mt-2-2,08081401,General Cell,Human
HRA-19a1.1 Alpha2Alpha1 E,Tumour,Tumour,Rectum,https://www.culturecollections.org.uk/nop/product/hra-19a11-alpha2alpha1-e,09071527,General Cell,Human
HCA-7 Colony 26,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-7-colony-26,09071511,General Cell,Human
HRA-19a1.1,Carcinoma,Adenocarcinoma,Rectum,https://www.culturecollections.org.uk/nop/product/hra-19a11,09071517,General Cell,Human
HRA-19a1.1 Alpha2 F,Carcinoma,Adenocarcinoma,Rectum,https://www.culturecollections.org.uk/nop/product/hra-19a11-alpha2-f,09071520,General Cell,Human
Mero-14,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/mero-14,09100101,General Cell,Human
Mero-25,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/mero-25,09100102,General Cell,Human
Mero-41,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/mero-41,09100103,General Cell,Human
Mero-82,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/mero-82,09100105,General Cell,Human
MM415,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm415-2,10092319,General Cell,Human
AE17,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/ae17-2,10092310,General Cell,Mouse
CACO-2,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/caco-2-2,09042001,General Cell,Human
HeLa/MMTV-luc,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/helammtv-luc,11033106,General Cell,Human
ZL34,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/zl34,11120713,General Cell,Human
FM-55-p.R22.2,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-55-pr222,13012462,General Cell,Human
FM-28,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-28,13012412,General Cell,Human
FM-58,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-58,13012414,General Cell,Human
FM-78,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-78,13012420,General Cell,Human
RCC BA85#21 (ELTHEM),Carcinoma,Carcinoma,Kidney,https://www.culturecollections.org.uk/nop/product/rcc-ba8521-elthem,13051601,General Cell,Human
FM-79,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-79,13012423,General Cell,Human
L5178Y tk+/- 3.7.2c (IVGT),Leukaemia,Leukaemia,Other,https://www.culturecollections.org.uk/nop/product/l5178y-tk-372c-ivgt,12080201,General Cell,Mouse
Ma-Mel-8a,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/ma-mel-8a,13012434,General Cell,Human
Ma-Mel-54a,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ma-mel-54a,13012484,General Cell,Human
Ma-Mel-45a,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ma-mel-45a,13012486,General Cell,Human
NZM3,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/nzm3,17020204,General Cell,Human
NZM12,Other,Melanoma,Intestine,https://www.culturecollections.org.uk/nop/product/nzm12,17020210,General Cell,Human
NZM42,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/nzm42,17020213,General Cell,Human
HT29-MTX resistant (100 microMolar),Cancer,Cancer,Colon,https://www.culturecollections.org.uk/nop/product/ht29-mtx-resistant-100-micromolar,15121710,General Cell,Human
RBL-1,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/rbl-1,86061001,General Cell,Rat
HeLa H2B-2FP,Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-h2b-2fp,21102108,General Cell,Human
1321N1,Other,Astrocytoma,Brain,https://www.culturecollections.org.uk/nop/product/1321n1,86030402,General Cell,Human
KARPAS-25,Myeloma,Myeloma,Bone,https://www.culturecollections.org.uk/nop/product/karpas-25,06072601,General Cell,Human
HeLa-Mitotrap-Ap1g1-FKBP,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-mitotrap-ap1g1-fkbp,15042203,General Cell,Human
CFPAC-1,Carcinoma,Adenocarcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/cfpac-1,91112501,General Cell,Human
AsPC-1,Carcinoma,Adenocarcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/aspc-1,96020930,General Cell,Human
CESS,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/cess,92110206,General Cell,Human
DMS 79,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/dms-79,95062824,General Cell,Human
CHP-134,Blastoma,Neuroblastoma,Adrenal gland,https://www.culturecollections.org.uk/nop/product/chp-134,06122002,General Cell,Human
DAUDI,Lymphoma,Burkitt Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/daudi-2,85011437,General Cell,Human
COR-L32,Carcinoma,Small Cell Carcinoma,Bone,https://www.culturecollections.org.uk/nop/product/cor-l32,96020744,General Cell,Human
COLO 684,Carcinoma,Adenocarcinoma,Uterus,https://www.culturecollections.org.uk/nop/product/colo-684,87061203,General Cell,Human
COR-L279,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/cor-l279,96020724,General Cell,Human
DMS 273,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/dms-273,95062830,General Cell,Human
COR L303,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/cor-l303,96020722,General Cell,Human
ESO51,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/eso51,11012010,General Cell,Human
HuP-T4,Carcinoma,Adenocarcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/hup-t4,93121056,General Cell,Human
K562,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/k562,89121407,General Cell,Human
HT29,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ht29,91072201,General Cell,Human
G-401,Tumour,Rhabdoid Tumour,Kidney,https://www.culturecollections.org.uk/nop/product/g-401,87042204,General Cell,Human
KARPAS-299,Lymphoma,Lymphoma,Other,https://www.culturecollections.org.uk/nop/product/karpas-299,06072604,General Cell,Human
HT 1080,Sarcoma,Fibrosarcoma,Other,https://www.culturecollections.org.uk/nop/product/ht-1080,85111505,General Cell,Human
MCF7,Carcinoma,Adenocarcinoma,Breast,https://www.culturecollections.org.uk/nop/product/mcf7,86012803,General Cell,Human
LC-2/ad,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/lc-2ad,94072247,General Cell,Human
MDA-MB-157,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/mda-mb-157,92020422,General Cell,Human
KARPAS-45,Leukaemia,Lymphoblastic Leukaemia,Bone,https://www.culturecollections.org.uk/nop/product/karpas-45,06072602,General Cell,Human
MDA-MB-231,Carcinoma,Adenocarcinoma,Breast,https://www.culturecollections.org.uk/nop/product/mda-mb-231,92020424,General Cell,Human
LoVo,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/lovo,87060101,General Cell,Human
LIM1215,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/lim1215-2,10092301,General Cell,Human
KELLY,Blastoma,Neuroblastoma,Brain,https://www.culturecollections.org.uk/nop/product/kelly,92110411,General Cell,Human
PC-3,Carcinoma,Adenocarcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/pc-3,90112714,General Cell,Human
Namalwa,Lymphoma,Burkitt Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/namalwa,87060801,General Cell,Human
SCC-4,Carcinoma,Squamous Cell Carcinoma,Tongue,https://www.culturecollections.org.uk/nop/product/scc-4,89062002,General Cell,Human
OAW42,Carcinoma,Cystadenocarcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/oaw42,85073102,General Cell,Human
MOG-G-CCM,Other,Astrocytoma,Brain,https://www.culturecollections.org.uk/nop/product/mog-g-ccm,86022702,General Cell,Human
NB69,Blastoma,Neuroblastoma,Brain,https://www.culturecollections.org.uk/nop/product/nb69,99072802,General Cell,Human
SW 403,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/sw-403,87071008,General Cell,Human
SW 1417,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/sw-1417,90102543,General Cell,Human
SW 13,Carcinoma,Adrenal Cortex Carcinoma,Adrenal gland,https://www.culturecollections.org.uk/nop/product/sw-13,87031801,General Cell,Human
U937,Lymphoma,Lymphoma,Lung,https://www.culturecollections.org.uk/nop/product/u937,85011440,General Cell,Human
SK-OV-3,Carcinoma,Adenocarcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/sk-ov-3,91091004,General Cell,Human
AR42J-B13,Carcinoma,Carcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/ar42j-b13,20100101,General Cell,Rat
U266B1,Myeloma,Myeloma/Plasmacytoma,Blood,https://www.culturecollections.org.uk/nop/product/u266b1,85051003,General Cell,Human
VA-ES-BJ,Sarcoma,Sarcoma,Skin,https://www.culturecollections.org.uk/nop/product/va-es-bj,94092303,General Cell,Human
NS0,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/ns0,85110503,General Cell,Mouse
LA1-5s,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/la1-5s,06041204,General Cell,Human
DLKP-I,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/dlkp-i-2,20022602,General Cell,Human
BeWo,Carcinoma,Gestational Choriocarcinoma,Placenta,https://www.culturecollections.org.uk/nop/product/bewo,86082803,General Cell,Human
H-4-II-E,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/h-4-ii-e,87031301,General Cell,Rat
6-23 (clone 6),Carcinoma,Carcinoma,Thyroid gland,https://www.culturecollections.org.uk/nop/product/6-23-clone-6,87042206,General Cell,Rat
COLO 320DM,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/colo-320dm,87061205,General Cell,Human
L1210,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/l1210,87092804,General Cell,Mouse
HeLa S3,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-s3,87110901,General Cell,Human
WRC,Carcinoma,Adenocarcinoma,Mammary gland,https://www.culturecollections.org.uk/nop/product/wrc,88031148,General Cell,Rat
J558L,Myeloma,Myeloma,Blood,https://www.culturecollections.org.uk/nop/product/j558l,88032902,General Cell,Mouse
NFS-5 C1,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/nfs-5-c1,88041904,General Cell,Mouse
PUTKO,Cancer,Cancer,Hybrid,https://www.culturecollections.org.uk/nop/product/putko,88042802,General Cell,Human
ML-1,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/ml-1,88113007,General Cell,Human
LC540,Other,Adenoma,Testis,https://www.culturecollections.org.uk/nop/product/lc540,89031604,General Cell,Rat
H4II,Carcinoma,Hepatocellular Carcinoma,Skin,https://www.culturecollections.org.uk/nop/product/h4ii,89042702,General Cell,Rat
59M,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/59m,89081802,General Cell,Human
H4S,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/h4s,89102001,General Cell,Rat
175BR,Carcinoma,Carcinoma,Skin,https://www.culturecollections.org.uk/nop/product/175br,90011863,General Cell,Human
LL/2(LLc1),Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/ll2llc1,90020104,General Cell,Mouse
HCT-8,Carcinoma,Adenocarcinoma,Intestine,https://www.culturecollections.org.uk/nop/product/hct-8,90032006,General Cell,Human
KU-812E,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/ku-812e,90071803,General Cell,Human
CTAC,Carcinoma,Adenocarcinoma,Thyroid gland,https://www.culturecollections.org.uk/nop/product/ctac,90071812,General Cell,Canine
RR1022,Sarcoma,Rous Sarcoma Virus Tumour,Not Specified,https://www.culturecollections.org.uk/nop/product/rr1022,90102526,General Cell,Rat
FL (HeLa derivative),Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/fl-hela-derivative,90111910,General Cell,Human
H33HJ-JA1,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/h33hj-ja1,90112119,General Cell,Human
CCD 13Lu,Carcinoma,Carcinoma/Neoplasms,Lung,https://www.culturecollections.org.uk/nop/product/ccd-13lu,90112704,General Cell,Human
RAMOS (RA.1),Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ramos-ra1,91030710,General Cell,Human
70Z/3,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/70z3,91092002,General Cell,Mouse
RAJI TK+,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/raji-tk,91112124,General Cell,Human
Subclone 707 DAP8,Leukaemia,Erythroleukaemia,Blood,https://www.culturecollections.org.uk/nop/product/subclone-707-dap8,91112129,General Cell,Mouse
C6,Other,Glioma,Nerve,https://www.culturecollections.org.uk/nop/product/c6,92090409,General Cell,Rat
B16-F0,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/b16-f0,92101204,General Cell,Mouse
HEL92.1.7,Leukaemia,Erythroleukaemia,Blood,https://www.culturecollections.org.uk/nop/product/hel9217,92111706,General Cell,Human
RT4-D6P2T,Other,Schwannoma,Nerve,https://www.culturecollections.org.uk/nop/product/rt4-d6p2t,93011415,General Cell,Rat
J45.01,Leukaemia,Lymphoblastic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/j4501,93031145,General Cell,Human
A15,Other,Glioma,Brain,https://www.culturecollections.org.uk/nop/product/a15,93040110,General Cell,Rat
NFS-25 C-3,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/nfs-25-c-3,93090713,General Cell,Mouse
QT 35,Sarcoma,Fibrosarcoma,Muscle,https://www.culturecollections.org.uk/nop/product/qt-35,93120832,General Cell,Quail
WKD (HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/wkd-hela-derivative,93120839,General Cell,Human
RT 1,Sarcoma,Fibrosarcoma,Embryo,https://www.culturecollections.org.uk/nop/product/rt-1,94011416,General Cell,Rat
KYSE-30,Carcinoma,Squamous Cell Carcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/kyse-30,94072011,General Cell,Human
COLO 775,Myeloma,Myeloma,Blood,https://www.culturecollections.org.uk/nop/product/colo-775,94072236,General Cell,Human
AT-1,Carcinoma,Adenocarcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/at-1,94101449,General Cell,Rat
AT-3.1,Carcinoma,Adenocarcinoma,Skin,https://www.culturecollections.org.uk/nop/product/at-31,94101451,General Cell,Rat
FGC4,Carcinoma,Hepatocellular Carcinoma,Skin,https://www.culturecollections.org.uk/nop/product/fgc4,94101904,General Cell,Rat
H5,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/h5,94101905,General Cell,Rat
C2-Rev 7,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/c2-rev-7,94101907,General Cell,Rat
GS-9L,Other,Glioma,Nerve,https://www.culturecollections.org.uk/nop/product/gs-9l,94110705,General Cell,Rat
X1/5,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/x15,95051229,General Cell,Human
HR5,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hr5,95091409,General Cell,Human
NCI-H69VCR/R,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/nci-h69vcrr,96042330,General Cell,Human
COR-L23/CPR,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l23cpr,96042336,General Cell,Human
L-41(HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/l-41hela-derivative,96121716,General Cell,Human
F4N (MEL),Leukaemia,Erythroleukaemia,Blood,https://www.culturecollections.org.uk/nop/product/f4n-mel,96121718,General Cell,Mouse
MH-22A,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/mh-22a,96121721,General Cell,Mouse
Clone 15 HL-60,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/clone-15-hl-60,98052918,General Cell,Human
